question_id,category,subcategory,question,options_json,answer,contexts_json
10,social_interaction,single_span,"When the group discussed splitting into teams, who kept repeating 'split into two groups'?","[""Alice made sure it was assigned equally."", ""Jake repeated it multiple times for clarity."", ""Katrina kept emphasizing the plan herself."", ""Tasha brought in a different suggestion."", ""Shure reinforced it after Katrina’s idea.""]",Jake repeated it multiple times for clarity.,"{""DAY1_17200000_17250000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
11,social_interaction,single_span,What did the group conclude about ordering ice from Meituan?,"[""That they could buy molds instead of ice."", ""That it was a dependable option even during summer."", ""That it wouldn’t arrive on time for their plans."", ""That it was cheaper than buying from the supermarket."", ""That it would melt in delivery and wasn't worth it.""]",That it was a dependable option even during summer.,"{""DAY1_17350000_17400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
12,social_interaction,single_span,Who ended up suggesting trying Haidilao dipping sauces for their meal?,"[""Shure, who mentioned buying dipping sauces from Meituan."", ""Tasha, who wanted to try something different this time."", ""Katrina, who asked if Haidilao sauces could be delivered."", ""Jake, who recommended Haidilao sauces for their rich taste."", ""Lucia, who praised the variety they offer for dipping.""]","Katrina, who asked if Haidilao sauces could be delivered.","{""DAY1_17400000_17450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
13,social_interaction,single_span,Who's the one who joked about not needing leafy greens while eating hotpot and why?,"[""Tasha, because she finds them too bland for hotpot."", ""Shure, because he only nibbles on them if others order."", ""Alice, because she thinks it's unhealthy."", ""Jake, because he prefers just eating meat during hotpot."", ""Lucia, because she orders them but doesn't eat.""]","Shure, because he only nibbles on them if others order.","{""DAY1_17450000_17500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
14,social_interaction,single_span,What did the group humorously criticize about the konjac they saw?,"[""They commented that it smelled like old boots."", ""They said it was so tasteless, even hotpot couldn’t save it."", ""They joked that it looked like rubber and couldn’t possibly be food."", ""They called its texture 'weird' but agreed to buy it anyway."", ""They started laughing about how it was packaged like a science experiment.""]",They called its texture 'weird' but agreed to buy it anyway.,"{""DAY1_17500000_17550000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
15,social_interaction,single_span,Who joked about calling someone a potato and what were they all talking about right after?,"[""Lucia joked about potatoes, and they argued over sesame paste."", ""Tasha joked about potatoes, and everyone talked about tofu."", ""Alice joked about potatoes, and they were discussing konjac noodles."", ""Tasha joked about potatoes, and they discussed roasting them in the oven."", ""Jake joked about potatoes, and they spoke about joining the Potato Clan.""]","Jake joked about potatoes, and they spoke about joining the Potato Clan.","{""DAY1_17550000_18000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
16,social_interaction,single_span,Who kept pointing out and laughing about logistics and supply chain delivery?,"[""Every single person except Jake added serious points"", ""Lucia and Shure were discussing things more practically"", ""Alice took it seriously, while Katrina made light remarks"", ""Jake and Lucia got side-tracked with jokes"", ""Tasha and Katrina debated if anyone ordered anything""]",Lucia and Shure were discussing things more practically,"{""DAY1_18100000_18150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
17,social_interaction,single_span,How did Shure tease everyone during their walk with the vegetables?,"[""He made a comment about onions being too fancy for their cooking."", ""He said the green onion was cursed and too heavy."", ""He joked they should pinch their noses while holding onions."", ""He claimed the scallion was actually garlic sprouts."", ""He asked if they were attending a cooking class soon.""]",He joked they should pinch their noses while holding onions.,"{""DAY1_18350000_18400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
18,social_interaction,single_span,Who noticed the double flashers on the car first?,"[""Katrina noticed it while she held the eggs."", ""Tasha pointed it out while they were waiting."", ""Jake was the first to yell 'double flashers!'"", ""Alice called it out loudly for everyone else to notice."", ""Lucia spotted it while looking for the car.""]",Alice called it out loudly for everyone else to notice.,"{""DAY1_18400000_18450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
19,social_interaction,single_span,What happened in the car when Alice sat in the back seat?,"[""Tasha adjusted her hat as she sat by Alice"", ""Jake stayed in the back and laughed about a GoPro"", ""Shure wandered off while they all got into the car"", ""Alice called Jake to sit next to her saying, 'Come on, baby'"", ""Lucia refused to sit in the back""]",Tasha adjusted her hat as she sat by Alice,"{""DAY1_18400000_18450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
20,social_interaction,single_span,Who laughed the most during the conversation about who the water bottle belonged to?,"[""It was mostly Jake who found it hilarious."", ""Nobody really laughed during this part."", ""Lucia laughed lightly while arranging flowers."", ""Alice found it amusing while watching Katrina."", ""Katrina found it funniest when Jake teased.""]",It was mostly Jake who found it hilarious.,"{""DAY1_19250000_19300000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
21,social_interaction,single_span,Who smiled when Jake called someone impressive during the conversation about needing help?,"[""Alice, while she planned everything herself."", ""Jake, he laughed at his own comment."", ""Tasha, as she adjusted her hat."", ""Lucia, she was standing nearby!"", ""Katrina, while picking flower petals.""]","Lucia, she was standing nearby!","{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
22,social_interaction,single_span,Who first said something about there needing to be one bowl of soup for each person?,"[""Katrina, distracted but agreed with everyone’s idea."", ""Lucia, as she suggested soup proportions."", ""Jake, who calculated how much to make."", ""Alice, while planning her own tasks."", ""Tasha, because she was organizing the meal plan first.""]","Tasha, because she was organizing the meal plan first.","{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
23,social_interaction,single_span,Who helped figure out how many enoki mushrooms were bought?,"[""Alice remembered the exact count."", ""Lucia agreed it was one but sounded unsure."", ""Katrina confirmed it while reorganizing."", ""Jake assumed two but didn’t check."", ""Tasha guessed only one bag.""]",Tasha guessed only one bag.,"{""DAY1_19350000_19400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
24,social_interaction,single_span,Who talked about cultural differences with food in the middle of cooking tasks?,"[""Lucia explained food culture seriously to Katrina"", ""Katrina joked about foreigners’ misconceptions to Alice"", ""Jake commented about it while eating"", ""Alice laughed while sharing food stories with Tasha"", ""Shure brought up unusual food traditions but got ignored""]",Katrina joked about foreigners’ misconceptions to Alice,"{""DAY1_19450000_19500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
25,social_interaction,single_span,What was Jake’s response while others were discussing eggs and cooking tasks?,"[""Jake tried to help but wasn’t heard by others"", ""He ignored the conversation while sitting at a computer"", ""None of the above, he wasn’t there"", ""Jake never interacted, just looked around confused"", ""He laughed and briefly engaged with everyone""]",He laughed and briefly engaged with everyone,"{""DAY1_19450000_19500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
26,social_interaction,single_span,What suggestion was made about the lighting during the group activity?,"[""Lucia noticed the staircase light was not bright enough."", ""Tasha suggested they buy new light bulbs for the kitchen."", ""Alice commented she couldn’t see her cutting properly."", ""Katrina said the kitchen light was making the eggs look dull."", ""Jake complained that the living room lights were dim.""]",Lucia noticed the staircase light was not bright enough.,"{""DAY1_19550000_20000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
27,social_interaction,single_span,Who was teasing about 'egg whites looking like this' while preparing the mixture?,"[""Lucia while adding sugar to the egg whites"", ""Katrina while squeezing lemon with Lucia"", ""Alice while peeling garlic next to Katrina"", ""Tasha while whipping cream for little cakes"", ""Jake teasing Lucia about her baking efforts""]",Tasha while whipping cream for little cakes,"{""DAY1_20050000_20100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
28,social_interaction,single_span,"When everyone was preparing the oven, what funny or lighthearted comment was made?","[""'Don’t overbake it again!' teased Jake."", ""'Let’s put everything in at once,' said Alice."", ""'Why are we even doing this?' joked Lucia."", ""'It looks like a total disaster,' joked Tasha."", ""'Wow, so cute!' said Katrina about the cakes.""]","'Wow, so cute!' said Katrina about the cakes.","{""DAY1_20150000_20200000"": [""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
29,social_interaction,single_span,"Who was joking about being in charge of the entire night, and for what reason?","[""Tasha volunteered to monitor the phone connections all night."", ""Jake and Alice argued about who should keep the whiteboard organized."", ""Lucia jokingly told Katrina to be in charge of charging everything."", ""Jake told Lucia she was in charge of managing the glasses."", ""Tasha teased Alice about being in charge of the cooking.""]",Jake told Lucia she was in charge of managing the glasses.,"{""DAY1_20250000_20300000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
30,social_interaction,single_span,Who brought up the idea of keeping things warm in a rice cooker longer?,"[""Katrina while taking photos in the kitchen"", ""Alice while pouring vegetables into the pot"", ""Jake during his conversation about microwaves"", ""Tasha while managing her meeting tasks"", ""Lucia while discussing food insulation methods""]",Jake during his conversation about microwaves,"{""DAY1_20300000_20350000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
31,social_interaction,single_span,What did Lucia end up offering to do while everyone was chatting?,"[""Label the boxes for better organization."", ""Grab paper packs to refill supplies."", ""Clean up the spilled soup from earlier."", ""Serve soup to Jake at the table."", ""Make sure the cilantro was all picked out.""]",Grab paper packs to refill supplies.,"{""DAY1_20450000_20500000"": [""JAKE"", ""TASHA"", ""KATRINA""]}"
32,social_interaction,single_span,"At the dinner table, who made the remark about needing an hour to set up for the next day's hotpot?","[""Jake, while calculating the time needed."", ""Lucia, while complaining about food being cold."", ""Tasha, referencing previous experiences."", ""Katrina, during a casual conversation."", ""Alice, while joking about her impatience.""]","Katrina, during a casual conversation.","{""DAY1_21150000_21200000"": [""LUCIA"", ""SHURE""]}"
33,social_interaction,single_span,Who commented about how playing a movie or variety show might cause a copyright issue?,"[""Lucia casually mentioning TV limitations during dinner."", ""Alice laughing about music restrictions while joking with Jake."", ""Jake connecting copyright rules to live events with Alice."", ""Tasha explaining legal issues to Katrina during meal prep."", ""Shure warning Violet about movie licensing rules.""]",Lucia casually mentioning TV limitations during dinner.,"{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
34,social_interaction,single_span,Who shared casual remarks about Singapore’s weather while eating?,"[""Alice casually mentioned Singapore while debating meal options with Jake."", ""Shure explained it to Violet during a conversation on May Day travel."", ""Tasha referenced tropical weather to Katrina over noodles."", ""Lucia brought it up while laughing with others at the table."", ""Jake joked about Singapore to lighten the mood before a discussion.""]",Lucia brought it up while laughing with others at the table.,"{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
35,social_interaction,single_span,What solution was suggested by Violet for May Day travel challenges?,"[""To get help from someone in Rizhao for travel."", ""To celebrate birthdays and avoid travel."", ""To find a cheaper flight on the 26th."", ""To take the high-speed train instead of flying."", ""To postpone plans until after May Day.""]",To take the high-speed train instead of flying.,"{""DAY1_21200000_21250000"": [""LUCIA"", ""SHURE""]}"
36,social_interaction,single_span,"Who's the one that jokingly said, 'so much pressure' when they were told to do a grand opening decoration?","[""Lucia, trying to draw a flower."", ""Alice, commenting while arranging strawberries."", ""Jake, amused but concerned about the task."", ""Shure, gesturing at the whipped cream task."", ""Tasha, overwhelmed by the cream bag.""]","Jake, amused but concerned about the task.","{""DAY1_21400000_21450000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
37,social_interaction,single_span,What caused Jake to humorously exclaim 'Which one is mine?' alongside the group?,"[""He couldn’t remember if he had eaten twice like the rest."", ""Tasha mistakenly handed him a different cake."", ""Lucia picked up a cake he thought belonged to him."", ""Katrina teased him about not getting enough dessert."", ""He lost track of his plate while everyone else kept swapping dessert.""]",He couldn’t remember if he had eaten twice like the rest.,"{""DAY1_21450000_21500000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
38,social_interaction,single_span,Who started cracking jokes as they ate cake and what type of comment sparked laughter?,"[""Alice declared it as a 'lethal dose of sugar'"", ""Tasha teased Katrina about twisting the cake's shape"", ""Lucia joked about the cream having magical properties"", ""Jake said the cake looked like Stonehenge"", ""Jake made a pun about frosting and eyeliner""]",Jake made a pun about frosting and eyeliner,"{""DAY1_21450000_21500000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
39,social_interaction,single_span,What was everyone discussing that revolved around copying something?,"[""Discussing whether animations or drawings could be stolen."", ""Trying to copy someone’s Procreate animation."", ""Stealing decoration ideas for someone's room."", ""Figuring out how to recreate a cyberpunk-inspired room."", ""Arguing over how to steal clothing designs.""]",Stealing decoration ideas for someone's room.,"{""DAY1_22000000_22050000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
40,social_interaction,single_span,"So, who started teasing about a twin brother and how did the other person react to it?","[""Tasha brought up the idea of twin siblings for fun, but everyone ignored it."", ""Alice teased Tasha about having an imaginary twin and both burst out laughing."", ""Shure mentioned having a twin brother, and his girlfriend kept saying 'wow' to humor him."", ""Lucia mentioned Jake’s supposed twin, and Jake sarcastically followed along."", ""Jake joked about Katrina having a twin sister, and Katrina laughed nervously.""]","Shure mentioned having a twin brother, and his girlfriend kept saying 'wow' to humor him.","{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
41,social_interaction,single_span,Who was hyping something up and why were they so motivated about it?,"[""Shure was hyping Violet up for a class presentation, giving her ideas."", ""Jake was hyping up Katrina to come up with ideas for a themed essay project."", ""Lucia and Jake together hyped themselves up before an important meeting."", ""Alice was hyping up Tasha for a public speaking event."", ""Katrina was hyping up Jake and Lucia for an upcoming dance contest.""]",Jake was hyping up Katrina to come up with ideas for a themed essay project.,"{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
42,social_interaction,single_span,Who bumped into someone unexpectedly and kept explaining what happened while being teased?,"[""Lucia narrating a clumsy moment during their group walk"", ""Shure's girlfriend trying to justify her mistake to him"", ""Katrina defending herself to Jake after stepping on his foot"", ""Jake making excuses after pushing past Katrina accidentally"", ""Alice mock-apologizing to Tasha after spilling something""]",Shure's girlfriend trying to justify her mistake to him,"{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
43,social_interaction,single_span,"Who cheered someone up by jokingly saying, 'pull yourself together' and kept smiling?","[""Alice sarcastically telling Lucia to calm down while laughing"", ""Tasha trying to lighten the mood with Jake during a chat"", ""Jake hyping up Katrina during their talk about essays"", ""Shure comforting someone while trying to be funny"", ""Violet encouraging Shure with a teasing comment""]",Shure comforting someone while trying to be funny,"{""DAY1_22050000_22100000"": [""JAKE"", ""SHURE""]}"
44,social_interaction,single_span,Why did Lucia seem confused about the milk Tasha mentioned?,"[""She assumed it was already part of the pancake mix."", ""She wasn’t sure how to heat the milk."", ""She initially thought Tasha wanted flavored milk."", ""She thought Tasha wanted milk for coffee only."", ""She didn’t know where the milk was stored.""]",She initially thought Tasha wanted flavored milk.,"{""DAY2_10400000_10450000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
45,social_interaction,single_span,"Who brought up moving a projector outside, and what was the group’s reaction?","[""Jake volunteered the idea, and Tasha laughed it off as impractical."", ""Jake suggested it, but Lucia thought it was too bulky."", ""Lucia asked about it, and Jake explained it’s just a physical screen."", ""Katrina raised the idea, saying it would be great for nighttime viewing."", ""Alice recommended it for better lighting, but Katrina ignored it.""]","Lucia asked about it, and Jake explained it’s just a physical screen.","{""DAY2_11150000_11200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
46,social_interaction,single_span,What caused the discussion around sugar during breakfast?,"[""Tasha demanded everyone dip sugar, which confused Katrina."", ""Alice didn't want sugar and offered someone else to use her bowl."", ""Lucia accidentally poured sugar into the wrong bowl."", ""Jake couldn’t find the sugar and started asking around."", ""The group decided to test different sugar mixtures.""]",Jake couldn’t find the sugar and started asking around.,"{""DAY2_11150000_11200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
47,social_interaction,single_span,What suggestion about transportation made everyone joke about biking to Zhengzhou?,"[""A friend suggesting a bike ride over taking a bus."", ""Taking a train slower than a bicycle."", ""Walking partway and using a bus for the rest."", ""Cycling as a way to save on travel costs."", ""Using a rental bike service in every city.""]",A friend suggesting a bike ride over taking a bus.,"{""DAY2_11350000_11400000"": [""JAKE"", ""ALICE"", ""TASHA"", ""KATRINA""]}"
48,social_interaction,single_span,Who teased Tasha the most during the guessing game about the tape length?,"[""Jake, who repeated ‘you’re done for’"", ""Alice, who sarcastically guessed an easier answer"", ""Katrina and Jake, who teamed up teasing together"", ""Katrina, who mocked Tasha’s initial bets"", ""Lucia, who judged Tasha’s measurement techniques""]","Jake, who repeated ‘you’re done for’","{""DAY2_11450000_11500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
49,social_interaction,single_span,What sparked laughter among the friends while chatting about shared dancing?,"[""Alice teasingly suggested that freestyle dancing looked ugly but was fun anyway."", ""Jake’s comment about holding a mock dance tutorial for 'butlers' designating a ride for them led to a big laugh."", ""Lucia joked about imitating professional dancers and claimed no one would notice if they repeated steps."", ""Lucia and Katrina pretended to coach each other’s awkward poses in dance sequences."", ""Tasha’s joke about choreographing her 'Lady Candle' persona got everyone amused.""]",Jake’s comment about holding a mock dance tutorial for 'butlers' designating a ride for them led to a big laugh.,"{""DAY2_11550000_12000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA""]}"
50,social_interaction,single_span,Why did everyone look at Katrina’s phone and laugh during their conversation?,"[""She edited her own image while discussing the match"", ""She displayed a fan-made meme about a player"", ""She shared a snapshot of her pet doing something silly"", ""She made a clumsy comment about a character in the video"", ""She found a funny video of a player on Douyin""]",She found a funny video of a player on Douyin,"{""DAY2_12100000_12150000"": [""LUCIA"", ""KATRINA""]}"
51,social_interaction,single_span,Who kept teasing about jealousy during their fun chat about a famous player?,"[""Alice joked that Jake might be one of the jealous ones."", ""Tasha claimed jealousy comes from losing teams only."", ""Lucia laughed and mentioned jealousy doesn’t matter in competitions."", ""Katrina suggested all the male fans were secretly jealous."", ""Jake implied others were jealous of the player.""]",Jake implied others were jealous of the player.,"{""DAY2_12100000_12150000"": [""LUCIA"", ""KATRINA""]}"
52,social_interaction,single_span,Who did Katrina ask about eating arrangements and how did they respond?,"[""Shure, who offered to check the second floor for space."", ""Jake, who said he’d clean up so they could eat there."", ""Lucia, who was distracted by her phone and didn’t respond."", ""Tasha, who insisted they grab food immediately."", ""Alice, who suggested finishing the makeup before eating.""]","Jake, who said he’d clean up so they could eat there.","{""DAY2_13100000_13150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA""]}"
53,social_interaction,single_span,Who seemed curious about a different version of the video Katrina found?,"[""Jake asked why the previous version wasn't chosen."", ""Jake and Choiszt both proposed ignoring it."", ""Nicous suggested Katrina dialed into the wrong video."", ""Alice commented about earlier versions of themes."", ""Alice was tidying her hair as Katrina brought it up.""]",Nicous suggested Katrina dialed into the wrong video.,"{""DAY2_15200000_15250000"": [""KATRINA""]}"
54,social_interaction,single_span,What did Shure do immediately after unplugging the data cable near Jake?,"[""He watched Nicous and Choiszt fiddle with the whiteboard"", ""He adjusted his glasses and asked if he could make coffee"", ""He walked upstairs to deal with something related to coffee"", ""He commented that it was slow, suggesting they hurry up"", ""He laughed and asked why Jake was working with just phones""]",He walked upstairs to deal with something related to coffee,"{""DAY2_15250000_15300000"": [""ALICE"", ""KATRINA"", ""SHURE""]}"
55,social_interaction,single_span,"Who cheered by saying 'Good morning, Night City' during the practice?","[""Lucia while mimicking a dance instructor."", ""Shure while Katrina and Tasha were chatting."", ""Katrina before starting another dance session."", ""Alice when walking into Katrina’s room."", ""Jake when someone suggested using the projector.""]",Shure while Katrina and Tasha were chatting.,"{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
56,social_interaction,single_span,"When everyone was laughing about Katrina 'PUA-ing' them, what was Jake doing?","[""Dancing in sync with others confidently"", ""He was moving to stand by the door casually"", ""Trying to fix or adjust a glitch in the video"", ""Quietly observing from the sofa alone"", ""Talking about the earlier group vote""]",He was moving to stand by the door casually,"{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
57,social_interaction,single_span,"When Katrina laughed and said learning might feel rewarding, who was nearby commentating or joining her joke?","[""Lucia adding something about slippers"", ""Jake interrupting with something irrelevant"", ""Alice chatting about unrelated things"", ""Shure echoing Katrina’s sentiment humorously"", ""Tasha returning to enter playful remarks""]",Lucia adding something about slippers,"{""DAY2_15400000_15450000"": [""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
58,social_interaction,single_span,What caused a minor disruption during the shared dance learning session?,"[""Katrina reprimanded someone for not focusing enough."", ""The sofa blocked the dance area, and Alice had to move it."", ""Jake accidentally dropped his phone, causing everyone to laugh."", ""Lucia suggested changing the choreography mid-way."", ""Shure’s joke interrupted the practice and shifted focus.""]","The sofa blocked the dance area, and Alice had to move it.","{""DAY2_15500000_15550000"": [""JAKE"", ""ALICE"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
59,social_interaction,single_span,What prompted everyone to laugh during the video session early on?,"[""Jake tripping over a chair near the sofa."", ""Shure's exaggerated reaction to missing a melody."", ""Lucia attempting to mimic a heart gesture humorously."", ""The screen switched unexpectedly to a faster speed."", ""Alice making light of forgetting an earlier sequence.""]",The screen switched unexpectedly to a faster speed.,"{""DAY2_15550000_16000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
60,social_interaction,single_span,What was the shared reaction among the group when a flower branch was broken?,"[""Everyone seemed mildly surprised, but Alice dismissed it as fine."", ""Shure joked about the culprit and insisted it wasn’t him."", ""Katrina suggested reattaching the branch with tape while others laughed."", ""Tasha and Lucia pointed out the broken branch, and Alice tried to fix it."", ""Jake teased the group, saying a broken branch didn’t really matter.""]","Everyone seemed mildly surprised, but Alice dismissed it as fine.","{""DAY2_16100000_16150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
61,social_interaction,single_span,Who brought up their enjoyment of Guns N' Roses during the music chat?,"[""Alice, while humorously commenting on decorations."", ""Lucia, saying she often listens to old songs."", ""Katrina, while enthusiastically requesting another track."", ""Tasha, casually mentioning it to Alice."", ""Jake, teasing everyone about song preferences.""]","Lucia, saying she often listens to old songs.","{""DAY2_16200000_16250000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
