case_id,question_id,question,answer,category,provisional_query_user,query_user_status,current_only_answerability,historical_only_answerability,current_plus_historical_answerability,current_to_current_plus_gain,likely_case_bucket,best_evidence_scope,best_evidence_summary,recommended_keep_for_next_stage,reason
HISTV1_011,475,What did Tasha propose when organizing the gift exchange task?,To taste the drinks after sorting the cups.,task_coordination,Tasha,inferred_weak,likely_answerable,unclear,likely_answerable,no,current_sufficient,current_plus_historical,"[all_agents_current rank=1 score=9.8367 source=Alice D3 11:30:00.00-11:40:00.00] it's Day 3, and I was mostly just chilling in the living room, completely engrossed in my phone, browsing Xiaohongshu. I started by looking at WeChat but quickly moved to Xiaohongshu and spent what felt like forever scrolling through various posts, comments, and even a tutorial on making a thousand paper cranes. I remember being particularly amused by some of the content; I even showed Lucia some weird recommendations and confessed that I felt awkward after clicking on them. Shure was constantly moving around, carrying bags, laptops, and cups, and organizing t...",unclear,current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=unclear (evidence has lexical overlap but does not clearly support the answer) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=current_sufficient
HISTV1_012,487,"Alright, so if we're talking about how everyone managed the game tokens at the arcade, how was the last coin at one point planned to be used?",It was given to Jake for him to decide what to do with it.,task_coordination,UNKNOWN,unknown,likely_answerable,likely_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=18.7206 source=Shure D3 16:14:30.00-16:15:00.00] I stand up from playing the game as Katrina says, ""Wow"". Then she bends down to pick up her phone, and I hear Shure say, ""Dropped my phone."" I see everyone coming over towards the game console. I then take a sip of water, saying, ""Win,"" and point at the game console screen. Lucia asks, ""Anyone else wants to play?"". I take another sip of water. Lucia continues to speak. Katrina mentions, ""Only one person can play."" Shure asks, ""How many tokens do we have left?"". Lucia then says, ""I have some, I can start another game."" I look directly at Lucia as she says, ""So...",no,"current=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | history=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | current+history=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_013,1113,"Which of the following happened first? A) Lucia oversaw reimbursements and dismantled a cabinet before departure planning B) Alice coordinated takeout ordering and kitchen prep after organizing groceries, C) Shure managed recording setups while the group planned meals and budgets, D) Katrina led themed room planning and wrapped up the session, E) Jake finalized plans for the evening BBQ and post-dinner activities,",E,temporal_reasoning,UNKNOWN,unknown,partially_answerable,partially_answerable,partially_answerable,unclear-but-promising,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=48.9089 source=Shure D1 12:12:00.00-12:12:30.00] I am writing on the whiteboard, planning activities for the next few days. I began by writing ""Dinner 5:30 above,"" indicating the planned dinner time. Then, I wrote ""Big Pizza, BBQ,"" while Shure says, ""After 5:30"", and then ""Around 5:30, yeah"". Other people said ""Competition"", ""A bow"", and ""The first pizza also has BBQ."" I continue to add details to the board, writing little by little to specify ""BBQ"" for the pizza. [all_agents_current rank=2 score=38.8914 source=Shure D1 12:10:00.00-12:10:30.00] the video starts with me stating, ""Yeah, that's it,"" followed b...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=unclear-but-promising | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_014,1161,"Which of the following happened first? A) Katrina checked messages on WeChat after discussing food, B) Alice filled a bottle with water in the bathroom, C) Jake used a hole punch to make holes in a bag D) Lucia drank water while watching Shure and Katrina, E) Tasha washed dishes and organized bowls at the sink,",B,temporal_reasoning,UNKNOWN,unknown,partially_answerable,partially_answerable,partially_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=31.9020 source=Alice D1 12:10:00.00-12:20:00.00] After finishing the showerhead repair, I admired myself in the mirror, flashed a peace sign, and double-checked my glasses before turning my attention to the trash can, which was filling with water from the shower. I adjusted my skirt and meticulously worked, detaching and reattaching the showerhead, using my hand to test the water temperature and making sure the trash can filled properly. During the process, I took a brief glance at an orange object on the wall before turning my attention back to filling the trash can. I then emptied the water, carrying the...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_015,1165,"Which of the following happened last? A) Tasha led evening cleanup and planned next day's activities, B) Lucia curated dance videos and finished sketching a cat for art, C) Katrina rehearsed music with Shure and mentored Nicous on guitar D) Alice finalized event roles and schedules for the evening program, E) Jake wrapped picnic setup and concluded filming of the gathering,",C,temporal_reasoning,UNKNOWN,unknown,unclear,partially_answerable,partially_answerable,yes,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=31.3289 source=Tasha D1 12:12:30.00-12:13:00.00] sitting at a table with a red and white checkered tablecloth, I began searching on my phone, presumably for event planning details, as Katrina, Shure, and Lucy discuss cocktails and desserts being available. I heard Shure say, ""Yeah, like desserts and..."" and Katrina added, ""When they entered the venue."" I continued to navigate the software. Then, Jake joined in with ""What is SS?"", prompting me to briefly look toward the whiteboard where he was pointing and then at Jake himself after Shure explained the acronym with ""WS multiplied by 2"". I then exited the sof...",no,"current=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=yes | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_016,1186,"Which is the correct sequence of events? A) Lucia helped finalize an Earth Day-themed coin-and-auction event plan, B) Alice guided park route decisions after checking the tourist map and discussing vending machine issues, C) Jake went shopping at a supermarket with a problematic cart and browsed beverages and housewares",A-B-C,temporal_reasoning,UNKNOWN,unknown,unclear,unclear,unclear,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=25.5519 source=Katrina D1 11:40:00.00-11:50:00.00] I'm sitting in a room with Lucy, Shure, Jake, Katrina, Tasha, and Alice, engaged in a collaborative planning session, which seems to revolve around an Earth Day-themed event. Initially, Lucy's describing the concept of making cardboard dogs of varying complexities for decoration, sparking ideas and notes from Shure on the whiteboard. Lucia then suggests using cardboard as an eco-friendly material, and proposes potentially creating a short play or film. We jokingly brainstormed some backward spellings of names, and the conversation shifts towards gathering p...",no,"current=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | history=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | current+history=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_017,1360,"When Jake was walking with Nicous and Tasha carrying a package behind the houses, and Alice was listening to sad love songs and finishing a star, what was Shure doing?",Cleaning up the trash and packing it into a box while chatting with Katrina.,temporal_reasoning,UNKNOWN,unknown,likely_answerable,partially_answerable,likely_answerable,no,current_sufficient,current_plus_historical,"[all_agents_current rank=1 score=22.8822 source=Alice D6 11:36:00.00-11:36:30.00] I am listening to music, songs that describe love and I think they are very sad. I am cutting the last corner of a star. Alright, I have finished cutting out this star. I put the star on the sofa and pick up the stars. Then Alice asks, ""Are they back yet?"". Lucia replies, ""Feels like they should be back soon. But picking up packages. Yesterday, it took us an hour to get the package because we went to a lottery shop on the way."" I am listening to Lucia speak, while I notice there is also a big star. [all_agents_current rank=2 score=18.9025 source=Tasha D6 11:3...",unclear,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=current_sufficient | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_018,1095,"Which of the following happened last? A) Jake systematically scanned all rooms with his phone to document the space B) Tasha multitasked on her phone and instructed refrigerating dessert before the meal, C) Katrina settled on a simple upbeat dance during pancake cooking, D) Alice filmed Shure’s drum game and tried the claw machine, E) Lucia coordinated cake layering and joined the group for outdoor dining,",A,temporal_reasoning,UNKNOWN,unknown,partially_answerable,partially_answerable,partially_answerable,unclear-but-promising,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=27.7656 source=Jake D2 10:50:00.00-11:00:00.00] I noticed a power bank lying on the floor and overheard Tasha commenting on how ""ugly"" the mixture was, mistakenly thinking it was made with cake flour when it was actually glutinous rice flour. Alice wondered what glutinous rice flour was and Katrina asked if they should bring Shyness when dancing, Tasha then chimed in with ""At home, we usually use glutinous rice flour."" I looked back at the power bank. Lucia was talking about needing things for dance practice and thought at least when they practice, everyone should bring it, and there was a continuing discus...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=unclear-but-promising | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_019,2,"When Katrina helped finalize the list on the whiteboard, who seemed most actively giving her suggestions?",Lucia and Tasha,social_interaction,Katrina,inferred_weak,likely_answerable,likely_answerable,likely_answerable,no,current_sufficient,current_plus_historical,"[all_agents_current rank=1 score=10.4183 source=Tasha D1 13:55:00.00-13:55:30.00] I am holding a tablet and watching Katrina as she writes on a whiteboard. Initially, Jake and Lucia discuss the presence of lures, determining there shouldn't be any but only utensils, pots, and pans. Subsequently, Tasha lists items, including milk, light cream, eggs, starch, salt, saline, sugar, and heavy cream. I then engage in a discussion with Katrina about what we should buy, specifically regarding a small packet of milk powder. The conversation continues, with Tasha repeating ""Salt, a packet of milk powder"" as we further discuss the shopping list. I am...",unclear,current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=current_sufficient
HISTV1_020,170,"Who helped each other find scissors, and what were the scissors used for?",Jake handed scissors to Katrina for her package and flower crafts.,social_interaction,UNKNOWN,unknown,likely_answerable,likely_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=11.6825 source=Katrina D4 12:26:30.00-12:27:00.00] First, I am seen cutting a flower stem with blue-handled scissors. Subsequently, I put the scissors down and hold the flower. I then reach for my phone, pick it up, and operate it to open the WeChat application. Within WeChat, I navigate through the interface by sliding. I then open the camera feature within the application. I proceed to attempt to take a photograph of the flower, adjusting the angle to find an ideal composition, but seem to be unsuccessful in initially achieving the desired framing. Finally, I take a photograph of the flower and then, I pu...",no,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_021,373,How did phone handling during food ordering differ across the situations?,"Alice first hesitated with the phone, later completed the order, while Jake refused to give his phone to Tasha.",social_interaction,UNKNOWN,unknown,likely_answerable,partially_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=8.6100 source=Alice D1 13:41:30.00-13:42:00.00] I am in the kitchen, placing the delivered food items, including bags and packages, next to the sink. Jake says, ""Finished ordering,"" and asks, ""How many did you order?"". I proceed to organize the items, arranging them neatly beside the sink. I then look back as Jake asks ""Really?"" Shure then says, ""Ordered a meal for two,"" confirming, ""Yeah, that was me."" I accidentally kick a bag on the floor. Turning around, I hear Shure repeat, ""I ordered a meal for two,"" followed by Jake's question, ""You ordered a meal for two by yourself?"" I then retrieve a board from th...",no,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_022,4,"Who seemed the most amused by the idea of cardboard greeters, and what was their reaction?",Alice humorously mentioned keeping all boxes just to make more dogs.,social_interaction,UNKNOWN,unknown,partially_answerable,partially_answerable,partially_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=8.1807 source=Jake D1 13:50:00.00-14:00:00.00] I started out looking for a phone charger, declaring I would check the dorm for extras the next day. I found it eventually, after a bit of wandering around and listening to a conversation about the meanings of words and a debate about whether to buy rum or tequila, and the crew, who apparently had to go to class, and was now considered the ""part-time crew"". Then I got involved in cleaning up the kitchen, being directed to rinse the dishes with clean water. We were discussing orange juice, sparkling wine, and mimosa, debating flavors and alcohol content. Tasha w...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_023,36,"Who's the one that jokingly said, 'so much pressure' when they were told to do a grand opening decoration?","Jake, amused but concerned about the task.",social_interaction,UNKNOWN,unknown,unclear,unclear,unclear,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=20.8472 source=Jake D1 21:43:30.00-21:44:00.00] sitting in my chair, I watched Lucia squeezing something, likely cream, while Alice stood by with her hands on her hips, observing the process. Tasha wondered if it was done, but Lucia said to wait a moment, and Alice jokingly called it a ""food symptom"" and ""moisture removal symptom."" Katrina held up a stool and looked at it. After Lucia finished squeezing, Tasha decorated the creation with fruit, suggesting we draw a smiley face on it. Lucia agreed to make another one. Tasha thought they were squeezing a bit too much and encouraged everyone to squeeze more, t...",no,"current=unclear (evidence has lexical overlap but does not clearly support the answer) | history=unclear (evidence has lexical overlap but does not clearly support the answer) | current+history=unclear (evidence has lexical overlap but does not clearly support the answer) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_024,115,"When deciding on drinks, who suggested a 'big bottle' and why?","Jake, who said the big bottle could be finished.",social_interaction,UNKNOWN,unknown,likely_answerable,likely_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=11.0489 source=Tasha D3 16:52:00.00-16:52:30.00] Alright, here’s what I’m doing in this video: I’m in the grocery store, getting ready to pick out some drinks from the refrigerator. Jake says ""Oh,"" and I turned to look at him, responding with ""So?"". Violet appears. Jake is advising me to ""Buy the big bottle,"" and I suggest, ""Then let's buy one bottle."" Violet also joins us. Jake then changes his suggestion to ""Yeah, the small bottle."" I pick up a bottle of juice. Jake questions, ""I don't know, who can't finish it?"" I then look at Jake and Violet. Jake then added, ""The big bottle can be finished."" Suddenly,...",no,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_025,903,What misunderstanding did Alice have about the beverages at first?,She thought the drinks included sodas but later realized it was only water.,theory_of_mind,Alice,inferred_weak,partially_answerable,partially_answerable,partially_answerable,no,history_adds_useful_context,current_plus_historical,"[all_agents_current rank=1 score=6.9984 source=Lucia D3 11:40:00.00-11:40:30.00] The video starts with me taking a step forward after hearing Shure say, ""If I knew, I wouldn't have had coffee for this activity."" Shure then says, ""Wipe my tongue first."" I then comb my hair, and Katrina says, ""Wipe your tongue."" I turn my head to look at Shure, who is walking back and forth. Jake tells Shure to ""Wipe it clean,"" while Katrina is sitting on the sofa. Alice walks in from the stairway and approaches the table, saying ""What is this?"" She then says, ""This is..."" Looking back, I see Jake working on the whiteboard. Alice says, ""Soda water with what?...",unclear,current=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | history=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | current+history=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | gain=no | bucket=history_adds_useful_context
